Latitude,Longitude,CRS,VRS,SE,Fully Efficient,Districts
31.50807532,74.60601728,0.997,1.0,0.997,No,Amritsar I Tahsil
31.51521254,74.59125331,0.996,1.0,0.996,No,Amritsar I Tahsil
31.51632067,74.9449792,0.982,0.984,0.998,No,Amritsar II Tahsil
31.51656763,74.62681448,0.995,0.995,1.0,No,Amritsar I Tahsil
31.51696165,74.99423843,0.977,0.979,0.998,No,Amritsar II Tahsil
31.52415483,74.59386307,0.995,0.999,0.996,No,Amritsar I Tahsil
31.52867663,74.92355003,0.986,0.988,0.998,No,Amritsar I Tahsil
31.53079658,75.07399203,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.5312711,75.09265543,1.0,1.0,1.0,Yes,Baba Bakala Tahsil
31.5435759,74.8747404,0.998,0.998,1.0,No,Amritsar I Tahsil
31.5439769,74.84860982,0.998,0.999,0.999,No,Amritsar I Tahsil
31.54427183,74.95232099,0.99,0.99,1.0,No,Amritsar II Tahsil
31.55252382,74.95269094,0.989,0.99,0.999,No,Amritsar II Tahsil
31.55356335,74.91381366,0.997,0.998,0.999,No,Amritsar I Tahsil
31.55363907,74.68920453,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.55423809,74.71928672,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.55577505,74.62800712,0.997,0.997,1.0,No,Amritsar I Tahsil
31.55617752,74.67707282,0.999,0.999,1.0,No,Amritsar I Tahsil
31.55699489,74.62396037,0.998,0.998,1.0,No,Amritsar I Tahsil
31.55808304,74.96577771,0.989,0.99,0.999,No,Amritsar I Tahsil
31.55942442,74.9720495,0.99,0.991,0.999,No,Amritsar II Tahsil
31.55950931,75.08153183,0.994,0.998,0.996,No,Amritsar II Tahsil
31.56125826,74.92069112,0.997,0.997,1.0,No,Amritsar I Tahsil
31.562473,75.0258073,0.991,0.991,1.0,No,Amritsar II Tahsil
31.56490415,74.71193161,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.56509246,74.61611407,0.998,0.999,0.999,No,Amritsar I Tahsil
31.56794622,74.72778529,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.56826409,74.68575319,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.5683042,74.83850559,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.57085477,74.94019705,0.994,0.995,0.999,No,Amritsar I Tahsil
31.5740862,74.60900359,0.998,1.0,0.998,No,Amritsar I Tahsil
31.57416403,74.70843082,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.57670644,74.74284798,0.998,0.999,0.999,No,Amritsar I Tahsil
31.57759874,75.01116903,0.993,0.993,1.0,No,Amritsar II Tahsil
31.57795673,74.78875918,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.57802689,74.98925087,0.994,0.994,1.0,No,Amritsar II Tahsil
31.57847211,75.01548279,0.996,0.996,1.0,No,Amritsar II Tahsil
31.57925391,74.78370285,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.58077394,74.70230051,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.58116224,74.64485257,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.58360024,74.66297516,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.58374062,74.77299992,0.999,0.999,1.0,No,Amritsar I Tahsil
31.58407716,74.77115998,0.999,0.999,1.0,No,Amritsar I Tahsil
31.58440125,74.64845945,0.999,1.0,0.999,No,Amritsar I Tahsil
31.58453553,74.75431866,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.58624006,75.07534689,0.995,0.996,0.999,No,Amritsar II Tahsil
31.5876061,74.60374502,0.999,1.0,0.999,No,Amritsar I Tahsil
31.5876748,75.06322382,0.994,0.994,1.0,No,Amritsar II Tahsil
31.58778616,74.96896506,0.996,0.997,0.999,No,Amritsar II Tahsil
31.5878845,74.72561407,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.58842311,74.62420361,0.999,1.0,0.999,No,Amritsar I Tahsil
31.5889059,74.69953562,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.59064024,74.93274927,0.997,0.998,0.999,No,Amritsar I Tahsil
31.59176403,74.82937581,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.59259574,74.88131048,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.59365916,74.97335728,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.59579448,75.02255194,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.59820869,74.93628025,0.997,0.998,0.999,No,Amritsar I Tahsil
31.59851498,74.79426495,0.996,0.999,0.997,No,Amritsar I Tahsil
31.6001665,74.80806262,0.999,1.0,0.999,No,Amritsar I Tahsil
31.60020003,74.62900506,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.60311126,75.03976999,0.997,0.997,1.0,No,Amritsar II Tahsil
31.60503535,74.82556806,0.998,1.0,0.998,No,Amritsar I Tahsil
31.6056619,74.99138438,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.60698198,74.96597635,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.60853028,74.84806908,0.997,0.999,0.998,No,Amritsar I Tahsil
31.60860838,74.83394668,0.997,0.998,0.999,No,Amritsar I Tahsil
31.61012469,75.04565696,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.61113354,74.84101444,0.997,0.999,0.998,No,Amritsar I Tahsil
31.61126461,74.72418076,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.61202816,75.09064259,1.0,1.0,1.0,Yes,Baba Bakala Tahsil
31.6123072,74.58488591,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.61295819,74.73069231,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.61296546,75.04695608,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.61312749,74.65031606,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.61412437,74.80202525,0.997,1.0,0.997,No,Amritsar I Tahsil
31.61435788,74.83177063,0.995,0.998,0.997,No,Amritsar I Tahsil
31.61485106,75.08496149,0.999,1.0,0.999,No,Baba Bakala Tahsil
31.6163584,75.05101774,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.61817157,75.05763315,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.6183345,74.55846159,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.61873629,74.81880151,0.997,0.999,0.998,No,Amritsar I Tahsil
31.61878615,74.6389599,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.61885196,74.76475454,0.998,1.0,0.998,No,Amritsar I Tahsil
31.61913422,74.6945321,0.999,1.0,0.999,No,Ajnala Tahsil
31.61938419,74.6622018,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.62124385,74.70378993,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.62270727,75.06517808,1.0,1.0,1.0,Yes,Baba Bakala Tahsil
31.62744163,74.94944889,1.0,1.0,1.0,Yes,Amritsar II Tahsil
31.62830036,74.70234249,1.0,1.0,1.0,Yes,Ajnala Tahsil
31.62992022,74.77388602,0.999,1.0,0.999,No,Amritsar I Tahsil
31.62995073,74.84355828,0.998,1.0,0.998,No,Amritsar I Tahsil
31.63064733,74.80353073,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.63073905,74.6979162,0.999,1.0,0.999,No,Ajnala Tahsil
31.63090599,74.64750249,1.0,1.0,1.0,Yes,Ajnala Tahsil
31.63194918,74.68023818,1.0,1.0,1.0,Yes,Ajnala Tahsil
31.63240381,74.75663303,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.63419133,75.09185699,1.0,1.0,1.0,Yes,Baba Bakala Tahsil
31.63422184,74.83924727,1.0,1.0,1.0,Yes,Amritsar I Tahsil
31.63423492,75.09412339,1.0,1.0,1.0,Yes,Baba Bakala Tahsil
